Name,Start,End,Activity
Priyanka,10/Oct/23 10:43 PM,20/Jul/23 03:31 AM,Inspection
Jyoti,24/Aug/23 05:55 AM,17/May/23 08:19 PM,Remote Inspection
Jyoti,08/Jun/23 08:19 AM,08/Apr/23 05:55 AM,Updates
Priyanka,21/Sep/23 03:31 PM,27/May/23 10:43 AM,Reporting
Priyanka,07/Oct/23 03:31 AM,30/Apr/23 01:07 PM,Reply to Customers
Priyanka,19/May/23 03:31 AM,11/May/23 08:19 PM,Updates
Deepti,02/Aug/23 01:07 PM,25/Apr/23 10:43 AM,Fund raising
Jyoti,04/May/23 10:43 PM,17/Aug/23 08:19 PM,Business Development
Priyanka,15/Aug/23 03:31 AM,02/Jul/23 01:07 PM,Reporting
Sharan,08/Jun/23 01:07 PM,24/Sep/23 01:07 AM,Reply to Customers
Priyanka,06/Apr/23 01:07 AM,15/May/23 08:19 PM,Send Email
Deepti,01/Oct/23 03:31 AM,23/Jul/23 08:19 AM,Podcast
Priyanka,20/Sep/23 10:43 AM,19/Aug/23 08:19 PM,Call
Ravi,12/May/23 10:43 AM,30/Mar/23 01:07 PM,Inspection
Sharan,18/Sep/23 10:43 AM,31/Jul/23 03:31 AM,Business Development
Ravi,17/Apr/23 03:31 PM,19/Apr/23 01:07 AM,Updates
Priyanka,18/Aug/23 01:07 AM,15/Sep/23 08:19 PM,Remote Inspection
Sharan,06/Sep/23 08:19 AM,11/May/23 03:31 PM,Inspection
Priyanka,20/May/23 10:43 AM,20/Apr/23 05:55 PM,Fund raising
Sharan,06/Sep/23 01:07 AM,17/Jul/23 08:19 PM,Podcast
Priyanka,08/Apr/23 05:55 PM,03/Sep/23 01:07 AM,Updates
Sharan,09/Oct/23 08:19 AM,01/Aug/23 01:07 PM,Reply to Customers
Sharan,22/Aug/23 08:19 PM,26/Apr/23 08:19 AM,Podcast
Ravi,12/Apr/23 03:31 AM,26/Jul/23 01:07 PM,Fund raising
Sharan,20/Aug/23 01:07 AM,18/Apr/23 08:19 PM,Podcast
Priyanka,19/Sep/23 03:31 AM,12/Oct/23 10:43 AM,Updates
Priyanka,04/Oct/23 03:31 AM,08/Apr/23 05:55 PM,Call
Priyanka,27/Jul/23 01:07 PM,01/Jun/23 10:43 AM,Call
Deepti,30/Mar/23 08:19 PM,09/Sep/23 03:31 AM,Remote Inspection
Deepti,15/Sep/23 05:55 AM,03/Jul/23 01:07 AM,Inspection
Priyanka,20/May/23 10:43 AM,26/Apr/23 05:55 AM,Inspection
Deepti,24/Aug/23 01:07 PM,31/Mar/23 01:07 AM,Send Email
Ravi,21/May/23 10:43 PM,23/May/23 10:43 AM,Reply to Customers
Ravi,23/Sep/23 05:55 AM,29/Jun/23 10:43 PM,Fund raising
Sharan,09/Oct/23 03:31 PM,06/Jul/23 10:43 PM,Inspection
Sharan,01/Sep/23 01:07 PM,10/Aug/23 10:43 PM,Reply to Customers
Priyanka,09/Apr/23 08:19 PM,17/Jun/23 08:19 PM,Reporting
Ravi,12/Oct/23 03:31 AM,30/Jun/23 05:55 PM,Remote Inspection
Ravi,21/Apr/23 03:31 PM,12/Sep/23 08:19 AM,Business Development
Priyanka,23/Jun/23 05:55 AM,04/May/23 05:55 PM,Updates
Deepti,20/Apr/23 10:43 PM,30/Apr/23 01:07 PM,Inspection
Priyanka,29/Aug/23 10:43 PM,09/Sep/23 03:31 AM,Fund raising
Jyoti,18/Jul/23 10:43 PM,24/Jul/23 08:19 AM,Reporting
Sharan,14/Oct/23 05:55 PM,21/Aug/23 10:43 PM,Reporting
Jyoti,05/Jun/23 01:07 PM,01/Apr/23 05:55 PM,Business Development
Deepti,21/Apr/23 08:19 PM,23/Apr/23 08:19 PM,Send Email
Sharan,28/Apr/23 01:07 PM,04/Oct/23 10:43 PM,Remote Inspection
Jyoti,14/Jun/23 03:31 PM,29/Apr/23 10:43 PM,Call
Jyoti,26/Jun/23 08:19 AM,30/Jul/23 01:07 PM,Fund raising
Priyanka,09/Aug/23 10:43 AM,13/Apr/23 03:31 AM,Call
Sharan,06/Jul/23 05:55 AM,11/Jun/23 03:31 PM,Podcast
Ravi,14/Aug/23 05:55 AM,26/Sep/23 08:19 AM,Remote Inspection
Ravi,09/Aug/23 01:07 AM,11/Oct/23 03:31 PM,Fund raising
Priyanka,28/Sep/23 03:31 PM,25/May/23 03:31 AM,Inspection
Sharan,06/Aug/23 01:07 AM,30/Sep/23 03:31 PM,Call
Jyoti,03/Aug/23 01:07 PM,14/Aug/23 10:43 PM,Send Email
Priyanka,31/Mar/23 05:55 PM,11/Aug/23 05:55 PM,Reply to Customers
Ravi,06/Oct/23 10:43 AM,05/Oct/23 05:55 AM,Updates
Priyanka,20/Aug/23 05:55 PM,31/Jul/23 08:19 AM,Podcast
